ID,StorageTime,fvo|FrameNumber,fvo|TimeStamp,fvo|UserTimeStamp,fvo|FrameRate,fvo|HeadPosition_x,fvo|HeadPosition_y,fvo|HeadPosition_z,fvo|HeadHeading,fvo|HeadPitch,fvo|HeadRoll,fvo|GazeOrigin_x,fvo|GazeOrigin_y,fvo|GazeOrigin_z,fvo|EyePosition_x,fvo|EyePosition_y,fvo|EyePosition_z,fvo|GazeDirection_x,fvo|GazeDirection_y,fvo|GazeDirection_z,fvo|GazeDirectionQ,fvo|ClosestWorldIntersection_worldPoint_x,fvo|ClosestWorldIntersection_worldPoint_y,fvo|ClosestWorldIntersection_worldPoint_z,fvo|ClosestWorldIntersection_objectPoint_x,fvo|ClosestWorldIntersection_objectPoint_y,fvo|ClosestWorldIntersection_objectPoint_z,fvo|ClosestWorldIntersection_objectName,fvo|LeftEyelidOpening,fvo|RightEyelidOpening,fvo|LeftPupilDiameter,fvo|RightPupilDiameter,fvo|EstimatedGazeOrigin_x,fvo|EstimatedGazeOrigin_y,fvo|EstimatedGazeOrigin_z,fvo|EstimatedEyePosition_x,fvo|EstimatedEyePosition_y,fvo|EstimatedEyePosition_z,fvo|EstimatedGazeDirection_x,fvo|EstimatedGazeDirection_y,fvo|EstimatedGazeDirection_z,fvo|EstimatedGazeDirectionQ,fvo|ScreenPoint2D_x,fvo|ScreenPoint2D_y
126983,1.72E+16,215763,35957461224,0,60.03486024,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
126984,1.72E+16,215764,35957628308,0,60.03918558,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
126985,1.72E+16,215765,35957794514,0,60.02703217,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
126986,1.72E+16,215766,35957961083,0,60.04924038,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
126987,1.72E+16,215767,35958127487,0,60.02394956,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
126988,1.72E+16,215768,35958293677,0,60.04920031,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
126989,1.72E+16,215769,35958460800,0,60.02330905,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
126990,1.72E+16,215770,35958627787,0,60.02939439,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
126991,1.72E+16,215771,35958793215,0,60.04245001,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
126992,1.72E+16,215772,35958960436,0,60.0364221,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
126993,1.72E+16,215773,35959126929,0,60.02731243,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
126994,1.72E+16,215774,35959294924,0,60.03149653,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
126995,1.72E+16,215775,35959460326,0,60.02444996,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
126996,1.72E+16,215776,35959627576,0,60.01672466,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
126997,1.72E+16,215777,35959794286,0,60.01934624,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
126998,1.72E+16,215778,35959959963,0,60.04230981,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
126999,1.72E+16,215779,35960126471,0,60.03311827,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
127000,1.72E+16,215780,35960293511,0,60.04112817,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
127001,1.72E+16,215781,35960459427,0,60.03596154,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
127002,1.72E+16,215782,35960627422,0,60.01772523,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
127003,1.72E+16,215783,35960792982,0,60.03065565,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
127004,1.72E+16,215784,35960959875,0,60.02416973,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
127005,1.72E+16,215785,35961125757,0,60.03461996,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
127006,1.72E+16,215786,35961293084,0,60.01186234,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
127007,1.72E+16,215787,35961458520,0,60.04563468,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
127008,1.72E+16,215788,35961625589,0,60.04399223,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
127009,1.72E+16,215789,35961792360,0,60.01710487,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
127010,1.72E+16,215790,35961959306,0,60.02260852,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
127011,1.72E+16,215791,35962125618,0,60.02623146,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
127012,1.72E+16,215792,35962293772,0,60.02304885,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
127013,1.72E+16,215793,35962458790,0,60.03073574,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
127014,1.72E+16,215794,35962626608,0,60.01936625,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
127015,1.72E+16,215795,35962792103,0,60.04369179,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
127016,1.72E+16,215796,35962958754,0,60.02418975,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
127017,1.72E+16,215797,35963124048,0,60.04849917,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
127018,1.72E+16,215798,35963292719,0,60.01584418,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
127019,1.72E+16,215799,35963458104,0,60.02647167,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
127020,1.72E+16,215800,35963625722,0,60.03401928,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
127021,1.72E+16,215801,35963791508,0,60.02949449,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
127022,1.72E+16,215802,35963959069,0,60.01612433,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
127023,1.72E+16,215803,35964124688,0,60.02138762,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
127024,1.72E+16,215804,35964292855,0,60.00458035,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
127025,1.72E+16,215805,35964458049,0,60.00942148,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
127026,1.72E+16,215806,35964624567,0,60.02044697,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
127027,1.72E+16,215807,35964791054,0,60.02613138,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
127028,1.72E+16,215808,35964958726,0,60.01160224,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
127029,1.72E+16,215809,35965123292,0,60.0465561,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
127030,1.72E+16,215810,35965291341,0,60.04865943,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
127031,1.72E+16,215811,35965457106,0,60.03369892,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
